Job Title,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,Salary Source,Hourly,Min Salary,Max Salary,Average Salary,Seniority,Job Function,Company Age,SQL,Tableau,Excel
Data and Reporting Analyst,"Job no: 503188
Work type: Full-time
Location: Sydney, NSW
Categories: Administration, Information Technology, Research Administration support
Data & Reporting Analyst
Key support to research grants and compliance management system.
Continuing Full-Time Position
$89, 670 - $106,449 + 17% super + leave loading, pro-rata
Data extraction and analysis for the Division of Research & Enterprise and for other business units and supporting continuous business process improvement on application systems and reporting.",4.2,University of New South Wales,Sydney,5001 to 10000 Employees,-1,College / University,Education,Unknown,$1 to $2 billion (USD),Employer Provided Salary,0,90.0,106.0,98.0,Mid,Analyst,2022,0,0,0
Data Linkage Analyst,"Job no: 496494
Work type: Full time
Location: Hobart
Categories: Information Technology
Data Linkage Analyst

Full time fixed term position until 30 June 2023
Based in Hobart
Showcase your technical and analytical skills",4.1,University of Tasmania,Hobart,1001 to 5000 Employees,-1,College / University,Education,Unknown,$500 million to $1 billion (USD),Employer Provided Salary,0,81.0,87.0,84.0,Mid,Analyst,2022,0,0,0
Data Analyst,"APS 6 - $84,150 - $95,543 per annum plus superannuation
Biosecurity Plant Division
Canberra, ACT
Provide data analytical insights into policy and decision making, assisting in the management of plant biosecurity risk.
Work as part of a larger initiative to improve the way we do business across the biosecurity system.
Use SQL, R and LaTeX skills to prepare and analyse data in a dynamic team environment.


The Plant Import Operations Branch contributes towards the maintenance of the favourable health status of Australia as well as the maintenance of market access by: coordinating the implementation of national technical operational plant quarantine policy which is consistent with international and national obligations; monitoring of pathways, the technical assessment of import permit applications and issuing import permits for imported plant and plant material; developing and verifying compliance with operational policy, procedures and standards; providing consistent and science based technical advice to staff, clients and stakeholders; and the facilitation of safe importation of plants and plant material. The branch is committed to monitoring, review and improvement and adopting best practice, including using risk-return principles, innovation and project management principles.

The Biosecurity Assurance Program (BAP) identifies, develops and implements business assurance processes for the Branch to ensure import conditions are fit for purpose, biosecurity risks are managed, and business outcomes are achieved. The program is responsible for managing, reviewing and developing training and instructional material for plant import activities, identifying opportunities for risk-return on plant import pathways, through the Compliance-based Intervention Scheme (CBIS), analysing and interpreting import data to inform non-compliance action and business decision making, reviewing intelligence sources to inform changes in risk, policy and processes, managing legislation updates, performing pathway verification activities and supporting a number of other business improvement processes.


The main duties of the roles include, but are not limited to:


that this recruitment process will be used to fill both ongoing and non-ongoing positions across the Biosecurity Assurance Program Section. If an offer of non-ongoing employment is made, the successful applicant would be employed for an initial period of up to 18 months with the possibility of extension up to a maximum period of 3 years in total. Some of these non-ongoing positions may become ongoing in the next 12 months. Should a position become ongoing then the merit pool established through this selection process, which is valid for a period of twelve months from the date the vacancy was advertised in the Public Service Gazette, may be used to fill the vacancy on an ongoing basis. The merit pool may also be used to fill future ongoing and non-ongoing vacancies in the section where the duties are of a similar nature.





The successful applicants must:",4.0,Department of Agriculture & Water Resources,Canberra,5001 to 10000 Employees,-1,National Agencies,Government,Government,$500 million to $1 billion (USD),Employer Provided Salary,0,84.0,96.0,90.0,Mid,Analyst,2022,1,0,0
Data Analyst,Be one of the first to Apply!,3.5,Australian Department of the Environment,Canberra,501 to 1000 Employees,-1,Unknown,Government,Government,$50 to $100 million (USD),Employer Provided Salary,0,84.0,96.0,90.0,Mid,Analyst,2022,0,0,0
Data Business Analyst,"Job Type: Full-time
Salary: $60,000.00 to $100,000.00 /year
Location: Office location will be determined dependant on the right applicant, as we have offices based in Sydney, Melbourne, Adelaide, Perth and Brisbane
We are looking for an experienced Account Manager/ Senior Account Manager to join our team on a Full-time basis within one of our agencies. We have offices based on Sydney, Brisbane, and Melbourne, so the role could be based in either of these locations.
Key responsibilities:",3.7,WPP AUNZ,Sydney,10000+ Employees,1985,Company - Public,Advertising & Marketing,Business Service,$10+ billion (USD),Employer Provided Salary,0,60.0,100.0,80.0,Mid,Analyst,36,0,0,0
Sea-Ice Data Analyst,"EL 1 - $110,092 - $118,412 per annum plus superannuation
Australian Antarctic Division
Hobart, TAS
Map and deliver end-to-end downloads, verification, storage and access of a wide range of environmental data and imagery for broad use in Earth System science.
Independently undertake basic validation and analysis in support of cutting edge climate-research projects, including high-end graphical presentations.
Lead or contribute to relevant research including presentations, publications, WWW portals and reports.


The Australian Antarctic Division (AAD) is part of the Commonwealth Department of Agriculture, Water and the Environment. As primary agency for Australia's Antarctic Program (AAP), the AAD is responsible for achieving the Australian Government's Antarctic goals. These goals are to:


The AAD also has responsibility for administering the Australian Antarctic Territory and the Territory of Heard and McDonald Islands.

The AAD Science Branch leads, conducts and supports a world class program of scientific research and environmental management, consistent with national priorities through the Australian Antarctic Science Strategic Plan. The branch provides research and advice to support Australia’s Antarctic policy objectives, including participation in the Antarctic Treaty system and other international committees, commissions and intergovernmental panels. It manages and administers the Australian Antarctic Science Program (including project requests, assessment, and reporting) and provides scientific and research advice to support regulatory and management decisions. The branch provides scientific advice for Antarctic capability projects, conducts impact assessments and develops strategies to address environmental legacies and undertakes targeted outreach promoting the value of Australian Antarctic science.

The Antarctic Climate Program investigates a range of Antarctic and Southern Ocean components of the climate system. Its team studies Antarctic atmosphere, sea ice, ice sheets and past climate using ice cores. The Antarctic Climate Program is well integrated within the Australian Antarctic Program Partnership at the University of Tasmania and holds links into the Australian Centre for Excellence in Antarctic Science, an Australian Research Council funded program.


The key duties of the role include, but are not limited to:






A relevant degree in climate, physical or computer science from an Australian tertiary institution, or a comparable overseas institution, or demonstrated equivalent experience.


that the successful applicant may be required to travel to the Antarctic and sub-Antarctic regions therefore they may be required to meet specific medical, adaptability and personal qualities requirements appropriate to working in those environments. In order to undertake travel to the Antarctic & sub-Antarctic regions they will need to:


The successful applicant must also:",4.0,Department of Agriculture & Water Resources,Hobart,5001 to 10000 Employees,-1,National Agencies,Government,Government,$500 million to $1 billion (USD),Employer Provided Salary,0,110.0,118.0,114.0,Mid,Analyst,2022,0,0,1
Data Analyst,"Posted: 07/10/2021
Closing Date: 17/10/2021
Job Type: Contract
Location: Sydney CBD
Job Category: IT
Job Description
Newly created role
24 month contract
Flexibility to work in the office and from home
The Role",-1.0,The Royal Australasian College of Physicians,Sydney,201 to 500 Employees,-1,Non-profit Organisation,Unknown,Unknown,Unknown,Glassdoor Est,0,62.0,100.0,81.0,Mid,Analyst,2022,0,0,0
Developer / SQL Data Analyst,"The Company
Our client is a leading company that prides itself on providing a workplace where the best people come to do their best work. Ongoing growth has created an exciting opportunity for your skills as a front end developer/data analyst, and your rewards include a vibrant workplace with a strong sense of community and inclusion, and a career where you can make a difference by collaborating with, and learning from, the best.
The Role
Liaise with your Project Lead and clients to assess proposals / technical specifications and understand, analyse, and interpret client requirements.",3.8,Robert Half,Perth,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,0,80.0,110.0,95.0,Mid,Analyst,73,0,0,0
MarTech Data Analyst,"Are you a MarTech Data Analyst who is passionate about delivering a comprehensive analysis? We’re recruiting a Digital Marketing Analyst responsible for supporting the delivery of strategic and tactical initiatives to market across Macquarie Bank’s digital channels.

Reporting to the Head of MarTech Analystics, you’ll be responsible for data deep-dives for a variety of media and marketing initiatives. You will work with business leaders to track, measure and optimize campaigns and decision making around this.
Your deep, working knowledge of Digital Analytic platforms, dashboards and reporting, coupled with best-in-class practices will see you drive results across the business. This role will play an essential role in the broader business initiatives that will contribute to the success of the business.",4.0,Other,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,83.0,93.0,88.0,Mid,Analyst,52,0,0,0
Data Analyst,"Organisation/Entity: Sydney Trains
Job Category: Research and Analysis
Job Location: Sydney, NSW, AU, 2000
Job Ref No: 37347
Employment Type: Permanent Full-Time
Salary Range: $106653.0-$123022.0
About us

At Sydney Trains our vision is to keep Sydney moving by putting the customer at the centre of everything we do. We work at the heart of local communities and integrate cutting edge technology to deliver efficient rail services which exceed expectations and support a rapidly growing economy. Sydney Trains also operate the Rail Operations Centre and are responsible for the maintenance of assets including tracks, trains, signals, overhead wiring, stations and facilities. We conduct our operations in the community in compliance with the principles of ecologically sustainable development.",4.0,Other,Sydney,51 to 200 Employees,-1,Unknown,Government,Government,Unknown,Employer Provided Salary,0,107.0,123.0,115.0,Mid,Analyst,2022,0,0,0
Business Analyst | Technology Consulting - Data & Analytics,"At EY, you’ll have the chance to build a career as unique as you are, with the global scale, support, inclusive culture and technology to become the best version of you. And we’re counting on your unique voice and perspective to help EY become even better, too. Join us and build an exceptional experience for yourself, and a better working world for all.

The opportunity

We are looking for a Business Analyst with a background in Data and Analytics focused projects, to join us within our Tech Consulting team in Perth. This role is offered on a flexible full-time basis.",3.8,Other,Sydney,10000+ Employees,1989,Company - Private,Other,Other,$10+ billion (USD),Employer Provided Salary,0,90.0,90.0,90.0,Mid,Analyst,32,0,0,0
Business Analyst - Data,"As Novon grows our Business Consulting Practice is continuing to expand and we have another opportunity for an experienced Business Analyst to join our growing team.

To be a part of our expert team we are searching for Business Analysts who have a strong passion for problem solving, delivering high quality solutions for our customers, Your first assignment within the Novon team will be working for one of our key customers who have a high profile project to improve the quality of data that needs to be reviewed for regulatory and compliance reasons.

This role will include a focus and drive for verifying and documenting the current state and identifying improvements and the development of a plan to reach the improved state – this includes problem solving and providing an improved target state.


Who we are: Novon are a growing consultancy headquartered in Sydney. We are focused on building our expertise around Data, Integration and Business Consultancy and are technology agnostic ensuring that our customers get the best solution for their business. This is an exciting time to join the team, with many opportunities for you to develop outside of your comfort zone and help build a best in class consulting organisation.

Why work at Novon?
To apply to this role please click the link. For other opportunities please check out our careers page at novon.com.au",-1.0,Other,Sydney,Unknown,-1,Company - Private,Unknown,Unknown,Unknown,Glassdoor Est,0,85.0,120.0,102.5,Mid,Analyst,2022,0,0,0
Junior Data Analyst,"$59-$66 / per hour + Super
6-month contract
Sydney / Work from Home


Junior Data Analyst
$59-$66 / per hour + Super
6-month contract
Sydney / Work from Home



This NSW government agency is a major service provider who strives to deliver a more consistent and efficient experience within government. This government agency uses data and behavioural insights to drive improvements with government and providing services to NSW.



The role supports the Productivity and Automation team within the People & Data Analytics functional area. The team is responsible for the initiation, design, development and delivery of a wide range of Human Resource related dashboards (Power BI), analytics, measurement, research and evaluation projects.",3.5,Other,Sydney,1 to 50 Employees,-1,Company - Private,Other,Unknown,$5 to $10 million (USD),Employer Provided Salary,1,94.6,113.52,104.06,Junior,Analyst,2022,0,0,0
Senior Data Analyst,"Organisation/Entity: Sydney Trains
Job Category: Research and Analysis
Job Location: Auburn, NSW, AU, 2144
Job Ref No: 37346
Employment Type: Permanent Full-Time
Salary Range: $124057.0-$137940.0
About us

At Sydney Trains our vision is to keep Sydney moving by putting the customer at the centre of everything we do. We work at the heart of local communities and integrate cutting edge technology to deliver efficient rail services which exceed expectations and support a rapidly growing economy. Sydney Trains also operate the Rail Operations Centre and are responsible for the maintenance of assets including tracks, trains, signals, overhead wiring, stations and facilities. We conduct our operations in the community in compliance with the principles of ecologically sustainable development.",4.0,Other,Sydney,51 to 200 Employees,-1,Unknown,Government,Government,Unknown,Employer Provided Salary,0,124.0,138.0,131.0,Senior,Analyst,2022,0,0,0
"ICT Business Analyst, Associate Consultant or Consultant","Synpulse is an internationally established management consulting company with branches in Australia, Asia Pacific, Europe and United States. We are a valued partner to many of the world's largest international financial services and insurance firms. We support our clients at all project management stages from the development of strategies and operational frameworks to the technical implementation and handover. Our expertise in business and technology combined with our methodical approach enable us to create sustainable added value for our clients’ businesses.
Synpulse is looking for self-motivated candidates with excellent academic records, a pronounced interest in financial services consulting and exceptional interpersonal skills to join our Sydney-based team as an ICT Business Analyst, full-time.",4.0,Other,Sydney,201 to 500 Employees,1996,Company - Private,Other,Business Service,Unknown,Employer Provided Salary,0,60.0,80.0,70.0,Mid,Analyst,25,0,0,1
Customer Insights & Data Analyst,"Posted: 07/10/2021
Closing Date: 07/11/2021
Salary: $100,000.00 - $110,000.00
Job Type: Contract
Location: Sydney
Job Category: IT
The Australian College of Nursing (ACN) is the national, professional body representing, educating and connecting Australia's vibrant community of nurses. At ACN, we're proud of our diverse and dynamic workforce and are looking for similarly dedicated individuals to join our team.
We are committed to high performing teams, which is why ACN offers:
values based leadership;",4.2,Other,Sydney,51 to 200 Employees,-1,Company - Private,Unknown,Unknown,Unknown,Employer Provided Salary,0,100.0,110.0,105.0,Mid,Analyst,2022,0,0,0
Reporting & Analysis Senior Analyst,"Organisation/Entity: Transport For NSW
Job Category: Information & Communication Technology
Job Location: Macquarie Park, NSW, AU, 2113
Job Ref No: 33921
Employment Type: Fixed Term Full-Time
Salary Range: $120423.0-$134872.0
About us

Transport for NSW (TfNSW) is the lead agency of the NSW Transport cluster. Our role is to lead the development of a safe, efficient, integrated transport system that keeps people and goods moving, connects communities and shapes the future of our cities, centres and regions. We work with several government agencies to coordinate metro, train, bus, ferry, light rail, road and maritime services, always keeping the safety and comfort of our customers at the heart of what we do.",4.0,Other,Sydney,51 to 200 Employees,-1,Unknown,Government,Government,Unknown,Employer Provided Salary,0,120.0,135.0,127.5,Senior,Analyst,2022,0,0,0
Data Scientist,"Overview:
Systems Planning and Analysis Australia Pty Ltd (SPA Australia) provides operational analysis and decision support services to the Department of Defence. We draw on a range of data and information sources in order to generate information-rich, user-friendly products that provide insights and recommendations to enhance Defence capability. SPA Australia is growing Australia's sovereign capability through local upskilling of its workforce by drawing on processes and tools used by our parent company SPA US, which has supported the US Department of Defense for the past 49 years. We provide formal and informal training opportunities for our team members.

SPA has a near-term need for a Junior Data Scientist/Analyst to work within a small, highly specialised team to collate, wrangle, transform, analyse and visualise a diverse range of sensitive data in support of specific current and future Navy capabilities.
Responsibilities:


Qualifications:",3.9,Other,Canberra,501 to 1000 Employees,1972,Company - Private,Other,Other,$100 to $500 million (USD),Glassdoor Est,0,88.0,136.0,112.0,Mid,Scientist,49,0,0,0
business analyst,"Job Description
Business Analyst – Patching and Vulnerability Management, Tableau , MS office skills , Windows Server .
Working with different team’s across the bank for vulnerability remediation.
Excellent verbal, written and interpersonal skills.
Self-motivated and be able to produce and perform with minimal supervision
Communicate effectively with Service Managers for Vulnerability remediation
Data Analysis of vulnerability report ( Excel knowledge
Job Type: Permanent
Salary: $75,000.00 – $92,000.00 per year
Benefits:",3.0,Other,Sydney,51 to 200 Employees,-1,Company - Private,Unknown,Unknown,Unknown,Employer Provided Salary,0,75.0,92.0,83.5,Mid,Analyst,2022,0,1,1
Data Analyst,"Would you like to work for one of the largest and oldest Indigenous organisations in Australia and be involved in the largest solar energy network in the world?
About the NLC
We are responsible for assisting Aboriginal people in the Top End of the Northern Territory to acquire and manage their lands and seas. Our vision is to ensure that Aboriginal people benefit socially, culturally and economically from the secure possession of their land, waters and seas.
About the Role
The Data Analyst manages data quality, governance and migration to support the NLC’s improvement projects and liaise closely with subject matter experts (SMEs) and service providers to ensure data is fit for purpose. NLC projects include the Land Use Management and Royalty Project and Permit Reform Project. Data quality is a key priority and this position will ensure that good data management supports the benefits of proposed solutions.",3.8,Other,Other,501 to 1000 Employees,-1,Non-profit Organisation,Government,Other,Unknown,Employer Provided Salary,0,73.0,84.0,78.5,Mid,Analyst,2022,0,0,0
Data Analyst - EcoCommons,"The Opportunity

Do you want to apply your data skills to be part of science and research at CSIRO?
Are you passionate about open-source software and open data?
Would you like to work on international collaborations?

The Atlas of Living Australia (ALA) is Australia’s largest national biodiversity data source funded by the National Collaborative Research Infrastructure Strategy (NCRIS) and hosted by CSIRO. The ALA is the Australian node of the Global Biodiversity Information Facility (GBIF). Our digital infrastructure is developed in-house to support research activities, government decision-making and community events.",3.7,Other,Canberra,5001 to 10000 Employees,1926,Unknown,Government,Government,$500 million to $1 billion (USD),Employer Provided Salary,0,103.0,111.0,107.0,Mid,Analyst,95,0,0,0
Data Analyst,"About us
At South East Water, we deliver healthy water for life. We’re here to help people live well and create a better and more sustainable future. We support healthy and liveable communities by delivering water, sewerage and recycled water services to 1.87 million people who rely on us every day and every night. Fresh thinking and collaboration are at the heart of our organisation. We are constantly learning, embracing the challenges of today and excited by the opportunities that tomorrow will bring.
About the role
South East Water is embracing the possibilities of what digital transformation can provide, the Data Analyst is expected to play a key role in building enhanced data analytics capability within Digital Utility.",3.2,Other,Melbourne,501 to 1000 Employees,-1,Unknown,Government,Government,Unknown,Glassdoor Est,0,60.0,100.0,80.0,Mid,Analyst,2022,0,0,0
Developer / SQL Data Analyst,Be one of the first to Apply!,3.8,Robert Half,Perth,10000+ Employees,1948,Company - Public,Staffing & Outsourcing,Business Service,$2 to $5 billion (USD),Employer Provided Salary,0,80.0,110.0,95.0,Mid,Analyst,73,0,0,0
Energy Analyst,"Company: The Green Guys Group
Role: Energy Analyst
Location: Sydney
Type: Full-time Permanent
The Green Guys Group was established in New South Wales in 2010 and has since then established offices in NSW, VIC and QLD and growing demand for renewable energy and energy-saving solutions across Australia.
Due to the growing industry, we are seeking an experienced Industrial Engineer and/or Energy Manager to join our team.",-1.0,The Green Guys Group Pty Ltd,Sydney,Unknown,-1,Unknown,Unknown,Unknown,Unknown,Employer Provided Salary,0,75.0,90.0,82.5,Mid,Analyst,2022,0,0,0
Customer Engagement Analyst,"2021 Best Places to Work – #1 in Health Industry
Flexible work practices
Work cross functionally on critical projects, develop and improve self-service interactive reporting and analysis dashboards
Deliver and manage Salesforce Effectiveness & Omnichannel Customer Engagement targeting
Sydney based – North Ryde
























Australia-New South Wales-Sydney-

Janssen-Cilag Pty Ltd (7490)

Sales

2105973895W",4.2,Johnson & Johnson Family of Companies,Sydney,10000+ Employees,1887,Company - Public,Other,Other,$10+ billion (USD),Glassdoor Est,0,68.0,73.0,70.5,Mid,Analyst,134,0,0,0
MarTech Data Analyst,Be one of the first to Apply!,4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,83.0,93.0,88.0,Mid,Analyst,52,0,0,0
Product Analyst (Data),"In this role you will be responsible for the operational excellence of a full range of business deposit products, payment products and term deposits, as well as driving the product development agenda.
You will engage with internal and external sales channels, feature teams, CX & Ops, regulators, RMG, the BFS funding team, Legal, Finance and Marketing. It’s a busy and exciting place to be, for the right person who thrives on variety, challenge and impact.
In this role, you will:
Work closely with a high-performing team of product managers - understanding, analysing and gathering data.",4.0,Macquarie Group,Sydney,10000+ Employees,1969,Company - Public,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD),Glassdoor Est,0,79.0,90.0,84.5,Mid,Analyst,52,0,0,1
Data Scientist,"Join us on our mission to make a better world of work.
Culture Amp revolutionizes how over 25 million employees across 4,000 companies create a better world of work. As the global platform leader for employee experience, Culture Amp empowers companies of all sizes and industries to transform employee engagement, develop high performing teams, and retain talent via cutting-edge research, powerful technology, and the largest employee dataset in the world. The most innovative companies across the globe, such as Salesforce, Unilever, PwC, KIND, SoulCycle, and BigCommerce depend on Culture Amp everyday.
Culture Amp is backed by 10 years of innovation, leading capital venture funds, and offices in the U.S, U.K, and Australia. Culture Amp is recognized as one of the world’s top private cloud companies by Forbes and one of the most innovative workplace companies by Fast Company.",4.6,Other,Melbourne,201 to 500 Employees,2011,Company - Private,Other,Information Technology,Unknown,Glassdoor Est,0,97.0,110.0,103.5,Mid,Scientist,10,0,0,0
